merchant_id,merchant_name,merchant_category,emirate,onboarding_date,merchant_status
MER00001,Emirates Retail 1,Services,Ras Al Khaimah,2026-09-08,Active
MER00002,Al Noor Fuel 2,Healthcare,Dubai,2026-08-10,Active
MER00003,Global Fuel 3,Healthcare,Abu Dhabi,2025-02-21,Active
MER00004,Prime Restaurant 4,Electronics,Abu Dhabi,2025-02-04,Active
MER00005,Metro Retail 5,Travel,Abu Dhabi,2026-11-09,Active
MER00006,Metro Travel 6,Fuel,Dubai,2026-05-08,Inactive
MER00007,Metro Grocery 7,Restaurant,Ajman,2025-01-15,Active
MER00008,City Restaurant 8,Restaurant,Umm Al Quwain,2025-07-17,Active
MER00009,Al Noor Retail 9,Grocery,Sharjah,2026-11-03,Active
MER00010,Prime Services 10,Travel,Dubai,2026-09-23,Active
MER00011,Al Noor Retail 11,Electronics,Fujairah,2026-09-20,Active
MER00012,Emirates Retail 12,Fuel,Sharjah,2026-10-11,Active
MER00013,Global Fuel 13,Grocery,Ras Al Khaimah,2026-03-20,Suspended
MER00014,Metro Services 14,Services,Abu Dhabi,2025-08-13,Inactive
MER00015,City Services 15,Healthcare,Ajman,2026-06-11,Active
MER00016,City Retail 16,Electronics,Sharjah,2025-03-26,Inactive
MER00017,Global Services 17,Grocery,Ras Al Khaimah,2025-10-27,Active
MER00018,Al Noor Retail 18,Grocery,Umm Al Quwain,2026-01-21,Active
MER00019,Global Restaurant 19,Electronics,Fujairah,2025-12-24,Active
MER00020,Global Electronics 20,Travel,Dubai,2025-05-21,Active
MER00021,Prime Fuel 21,Fuel,Sharjah,2025-04-24,Active
MER00022,Metro Restaurant 22,Services,Sharjah,2026-07-07,Active
MER00023,City Grocery 23,Fuel,Ajman,2025-04-17,Active
MER00024,Al Noor Electronics 24,Healthcare,Sharjah,2026-03-11,Active
MER00025,Al Noor Healthcare 25,Travel,Ras Al Khaimah,2025-02-27,Active
MER00026,Emirates Grocery 26,Services,Abu Dhabi,2026-07-09,Active
MER00027,Emirates Services 27,Healthcare,Ajman,2025-05-06,Active
MER00028,Prime Healthcare 28,Travel,Ajman,2024-04-10,Active
MER00029,Prime Retail 29,Travel,Abu Dhabi,2024-11-02,Active
MER00030,Metro Retail 30,Electronics,Ras Al Khaimah,2024-03-12,Active
MER00031,Global Retail 31,Travel,Abu Dhabi,2025-04-26,Inactive
MER00032,Metro Electronics 32,Services,Ras Al Khaimah,2025-08-06,Active
MER00033,Emirates Grocery 33,Travel,Abu Dhabi,2025-09-10,Active
MER00034,City Healthcare 34,Healthcare,Fujairah,2024-12-27,Active
MER00035,Prime Restaurant 35,Fuel,Umm Al Quwain,2026-01-17,Active
MER00036,Al Noor Fuel 36,Travel,Ras Al Khaimah,2025-07-26,Active
MER00037,Al Noor Services 37,Services,Sharjah,2025-09-10,Active
MER00038,City Services 38,Fuel,Sharjah,2024-11-19,Active
MER00039,Global Services 39,Retail,Abu Dhabi,2025-05-24,Active
MER00040,Metro Grocery 40,Fuel,Abu Dhabi,2025-05-12,Active
MER00041,Global Travel 41,Restaurant,Fujairah,2024-12-16,Active
MER00042,Emirates Services 42,Fuel,Ras Al Khaimah,2025-01-23,Active
MER00043,Emirates Fuel 43,Travel,Dubai,2025-08-28,Active
MER00044,City Fuel 44,Healthcare,Umm Al Quwain,2026-03-16,Active
MER00045,Al Noor Travel 45,Services,Abu Dhabi,2024-04-13,Active
MER00046,Al Noor Grocery 46,Services,Sharjah,2025-01-01,Active
MER00047,Prime Services 47,Retail,Sharjah,2026-09-04,Active
MER00048,Al Noor Healthcare 48,Healthcare,Ras Al Khaimah,2025-09-29,Active
MER00049,Emirates Fuel 49,Retail,Abu Dhabi,2026-04-02,Active
MER00050,Metro Restaurant 50,Retail,Ajman,2025-05-29,Active
MER00051,Metro Restaurant 51,Healthcare,Umm Al Quwain,2026-01-21,Active
MER00052,Metro Travel 52,Electronics,Umm Al Quwain,2024-12-15,Active
MER00053,Emirates Travel 53,Retail,Fujairah,2026-12-26,Active
MER00054,Metro Healthcare 54,Fuel,Fujairah,2025-12-16,Active
MER00055,Prime Electronics 55,Services,Sharjah,2025-12-04,Active
MER00056,Metro Electronics 56,Healthcare,Abu Dhabi,2024-07-29,Inactive
MER00057,Al Noor Grocery 57,Travel,Dubai,2025-05-21,Active
MER00058,Al Noor Grocery 58,Restaurant,Ajman,2025-02-16,Active
MER00059,Emirates Healthcare 59,Restaurant,Umm Al Quwain,2024-12-27,Active
MER00060,Emirates Travel 60,Retail,Sharjah,2024-07-13,Active
MER00061,Prime Travel 61,Electronics,Ras Al Khaimah,2025-04-24,Suspended
MER00062,Prime Healthcare 62,Fuel,Ras Al Khaimah,2025-07-09,Active
MER00063,City Services 63,Retail,Sharjah,2026-09-25,Active
MER00064,Global Retail 64,Restaurant,Fujairah,2024-09-16,Active
MER00065,Al Noor Travel 65,Travel,Ajman,2025-11-20,Active
MER00066,Global Fuel 66,Fuel,Sharjah,2025-03-23,Active
MER00067,Prime Grocery 67,Services,Sharjah,2025-09-05,Active
MER00068,City Electronics 68,Healthcare,Dubai,2024-03-17,Active
MER00069,Global Restaurant 69,Services,Umm Al Quwain,2024-07-03,Active
MER00070,Global Fuel 70,Restaurant,Umm Al Quwain,2024-05-31,Active
MER00071,Al Noor Grocery 71,Grocery,Umm Al Quwain,2024-10-14,Active
MER00072,Global Healthcare 72,Services,Umm Al Quwain,2024-10-24,Active
MER00073,Prime Grocery 73,Grocery,Umm Al Quwain,2024-06-30,Active
MER00074,Metro Electronics 74,Services,Fujairah,2026-05-17,Active
MER00075,Metro Retail 75,Retail,Dubai,2025-04-25,Active
MER00076,City Grocery 76,Healthcare,Dubai,2026-12-22,Active
MER00077,City Electronics 77,Grocery,Sharjah,2025-06-26,Active
