record_id,transaction_id,transaction_date,transaction_month,fiscal_year,fiscal_quarter,transaction_type,sales_region,country,division,department,sales_manager,product_team,product_category,product_name,customer_segment,customer_id,customer_name,vendor_id,vendor_name,customer_agreement_id,customer_agreement_status,purchase_agreement_id,purchase_agreement_status,approval_level,approval_status,approver_role,approval_pending_days,sales_quantity,sales_revenue,purchase_cost,inventory_opening_value,inventory_closing_value,inventory_movement_value,administration_expense,operation_expense,marketing_expense,employee_count,employee_payroll_amount,customer_service_cases,customer_service_cost,total_expense,gross_profit,gross_profit_margin,net_profit,net_profit_margin,payroll_to_revenue_ratio,transaction_amount,profit_status,risk_level,risk_flag,recommended_action
ERP0000001,TRX0000001,2025-07-01,2025-07,FY2026,Q1,Sales Invoice,Middle East,UAE,Consumer Electronics,Sales,Mohamed Rafi,Core Products,Accessories,Accessories 300,Channel Partner,CUST00245,Customer 00245,,,CA-54970,Expiring Soon,,,Level 4 - CFO,Escalated,CFO,17,160,225502.64,0,0,0,0,0,0,0,0,0,0,0,0,225502.64,1,225502.64,1,0,225502.64,Profitable,High,Review Required,Escalate to senior approver
ERP0000002,TRX0000002,2025-07-01,2025-07,FY2026,Q1,Purchase Order,Middle East,UAE,Consumer Electronics,Purchase,Omar Ali,Digital Commerce,Home Electronics,Home Electronics 932,SME,,,VEND00177,Vendor 00177,,,PA-83935,Active,Level 3 - Head of Department,Rejected,Head of Department,0,0,0,137435.18,0,0,0,0,0,0,0,0,0,0,0,-137435.18,0,-137435.18,0,0,137435.18,Loss,High,Review Required,Review margin and cost allocation
ERP0000003,TRX0000003,2025-07-01,2025-07,FY2026,Q1,Inventory Receipt,Middle East,Saudi Arabia,Consumer Electronics,Inventory,Bilal Hussain,Enterprise Solutions,Smart Devices,Smart Devices 583,Government,,,VEND00271,Vendor 00271,,,PA-74675,Under Review,Level 3 - Head of Department,Pending,Head of Department,3,0,0,40803.84,276775.03,339550.17,62775.14,0,0,0,0,0,0,0,0,-40803.84,0,-40803.84,0,0,62775.14,Loss,High,Review Required,Follow up approval
ERP0000004,TRX0000004,2025-07-01,2025-07,FY2026,Q1,Payroll Allocation,Middle East,UAE,Office Equipment,Payroll,Mohamed Rafi,Enterprise Solutions,Printers,Printers 791,SME,,,,,,,,,Level 3 - Head of Department,Pending,Head of Department,25,0,0,0,0,0,0,0,0,0,9,65517.48,0,0,65517.48,0,0,-65517.48,0,0,65517.48,Loss,High,Review Required,Follow up approval
ERP0000005,TRX0000005,2025-07-01,2025-07,FY2026,Q1,Administration Expense,Middle East,Bahrain,Industrial Supplies,Administration,Omar Ali,Customer Experience,Tools,Tools 624,Enterprise,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,33409.95,0,0,0,0,0,0,33409.95,0,0,-33409.95,0,0,33409.95,Loss,High,Review Required,Review margin and cost allocation
ERP0000006,TRX0000006,2025-07-01,2025-07,FY2026,Q1,Operations Expense,Middle East,Kuwait,Office Equipment,Operations,Aisha Khan,Enterprise Solutions,Furniture,Furniture 375,Retail,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,0,46869.47,0,0,0,0,0,46869.47,0,0,-46869.47,0,0,46869.47,Loss,High,Review Required,Review margin and cost allocation
ERP0000007,TRX0000007,2025-07-01,2025-07,FY2026,Q1,Marketing Expense,Middle East,Saudi Arabia,Industrial Supplies,Marketing,Bilal Hussain,Customer Experience,Safety Equipment,Safety Equipment 724,Government,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,0,0,14369.68,0,0,0,0,14369.68,0,0,-14369.68,0,0,14369.68,Loss,High,Review Required,Review margin and cost allocation
ERP0000008,TRX0000008,2025-07-01,2025-07,FY2026,Q1,Customer Service Cost,Middle East,UAE,Software Services,Customer Service,Mohamed Rafi,Core Products,Implementation,Implementation 989,Enterprise,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,0,0,0,0,0,75,47904.75,47904.75,0,0,-47904.75,0,0,47904.75,Loss,High,Review Required,Review margin and cost allocation
ERP0000009,TRX0000009,2025-07-01,2025-07,FY2026,Q1,Refund / Credit Note,Middle East,Oman,Industrial Supplies,Finance,Grace Thomas,Core Products,Machinery Parts,Machinery Parts 354,SME,CUST00319,Customer 00319,,,CA-33768,Active,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,-19021.16,0,0,0,0,0,0,0,0,0,0,0,0,-19021.16,0,-19021.16,0,0,19021.16,Loss,High,Review Required,Review margin and cost allocation
ERP0000010,TRX0000010,2025-07-01,2025-07,FY2026,Q1,Approval Workflow,Middle East,UAE,Software Services,Finance,Bilal Hussain,Digital Commerce,Implementation,Implementation 526,Retail,,,,,,,,,Level 4 - CFO,Pending,CFO,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166143.28,Low Margin,Medium,Normal,Follow up approval
