record_id,case_date,department,business_area,process_type,source_system,transaction_amount,budget_amount,variance_amount,approval_status,invoice_status,sla_status,risk_level,exception_type,priority_level,owner_name,recommended_action,case_status,days_pending,pending_approval_flag,overdue_invoice_flag,payroll_exception_flag,sla_breach_flag,high_priority_flag,exposure_amount
OPS000001,2026-01-07,Purchase Control,Procurement,Vendor Onboarding,ERP Procurement,18895.71,15140.14,3755.57,Pending,Current,Within SLA,Low,Vendor document expired,P3 - Standard,Aisha Khan,Request vendor document refresh,Open,5,1,0,0,0,0,18895.71
OPS000002,2026-06-16,Purchase Control,Procurement,Contract Approval,Vendor Portal,55282.06,49151.02,6131.04,Pending,Overdue,Within SLA,Low,Vendor document expired,P2 - Same Week,Bilal Hussain,Request vendor document refresh,Open,17,1,1,0,0,0,55282.06
OPS000003,2026-04-08,People Operations,HR,Contract Renewal,D365 HR,6980.76,5705.93,1274.83,Approved,Not Applicable,Breached,Low,Approval pending,P2 - Same Week,Bilal Hussain,Send approval reminder,Closed,18,0,0,0,1,0,0
OPS000004,2026-06-30,Procurement Operations,Procurement,Purchase Order,D365 F&O,93335.53,115979.73,-22644.2,Pending,Paid,Within SLA,Low,Vendor document expired,P1 - Immediate,Bilal Hussain,Request vendor document refresh,Open,23,1,0,0,0,1,93335.53
OPS000005,2026-03-10,WPS Compliance,Payroll,Salary Adjustment,Payroll Engine,53730.48,50196.5,3533.98,Pending,Not Applicable,Within SLA,High,Payroll variance,P1 - Immediate,Bilal Hussain,Validate payroll variance,Open,35,1,0,1,0,1,53730.48
OPS000006,2026-01-15,IT Service Desk,IT Operations,Access Request,Azure AD,7059.65,6243.51,816.14,Pending,Paid,Within SLA,Medium,Access approval pending,P1 - Immediate,Priya Nair,Approve or reject access request,Closed,25,1,0,0,0,1,0
OPS000007,2026-02-05,Payroll Operations,Payroll,Salary Adjustment,Payroll Engine,26019.33,26459.5,-440.17,Pending,Not Applicable,Within SLA,High,Bank file rejection,P1 - Immediate,Aisha Khan,Resubmit bank file,In Progress,32,1,0,1,0,1,26019.33
OPS000008,2026-02-09,Access Management,IT Operations,Access Request,Endpoint Manager,15112.02,14415.46,696.56,Approved,Current,Within SLA,Medium,Access approval pending,P2 - Same Week,Omar Ali,Approve or reject access request,In Progress,0,0,0,0,0,0,15112.02
OPS000009,2026-05-18,Vendor Management,Procurement,Contract Approval,Vendor Portal,36986.27,30664.54,6321.73,Approved,Overdue,At Risk,High,Vendor document expired,P1 - Immediate,Omar Ali,Request vendor document refresh,In Progress,11,0,1,0,0,1,36986.27
OPS000010,2026-03-18,Access Management,IT Operations,Asset Provisioning,Endpoint Manager,4244.56,4690.26,-445.7,Approved,Overdue,Breached,Medium,SLA breach,P1 - Immediate,Bilal Hussain,Escalate service owner,Open,20,0,1,0,1,1,4244.56
OPS000011,2026-03-20,IT Service Desk,IT Operations,Access Request,ITSM,23700.26,19772.21,3928.05,Approved,Not Applicable,At Risk,Medium,Device delivery delay,P2 - Same Week,Sara Rahman,Expedite asset provisioning,In Progress,8,0,0,0,0,0,23700.26
OPS000012,2026-06-05,Compensation,Payroll,Monthly Payroll,Payroll Engine,60189.41,62752.86,-2563.45,Approved,Overdue,Within SLA,High,Bank file rejection,P1 - Immediate,Mohamed Rafi,Resubmit bank file,Open,28,0,1,1,0,1,60189.41
OPS000013,2026-01-06,Employee Relations,HR,Leave Approval,HRMS,5895.33,4883.68,1011.65,Approved,Not Applicable,Breached,Medium,Approval pending,P2 - Same Week,Noura Ahmed,Send approval reminder,In Progress,4,0,0,0,1,0,5895.33
OPS000014,2026-02-24,Purchase Control,Procurement,Purchase Order,D365 F&O,70204.87,61183.45,9021.42,Approved,Current,Within SLA,Medium,Price variance,P1 - Immediate,Priya Nair,Review procurement variance,In Progress,22,0,0,0,0,1,70204.87
